"","formula","(Intercept)","commons","fosforo","nitrogeno","potasio","sr.aut","transh","ph","sr.spr","cic","df","logLik","AIC","delta","weight"
"1","1 + sr.aut + fosforo + potasio + nitrogeno + (commons + transh)",119.565929350027,"+",-0.241506717005069,12.6823474893052,-0.091832472559849,-13.0961966450655,"+",,,,10,-207.893166139442,435.786332278883,0,0.123442511093955
"2","1 + sr.aut + ph + potasio + (commons + transh)",55.6128775024973,"+",,,-0.100384230010589,-13.352402479566,"+",8.49134045718888,,,9,-209.084578395768,436.169156791535,0.38282451265178,0.101937847991621
"3","1 + sr.aut + potasio + (commons + transh)",115.033242788027,"+",,,-0.0940020027848661,-12.4417919846636,"+",,,,8,-210.238952400077,436.477904800155,0.691572521271553,0.0873557874139578
"4","1 + sr.aut + ph + potasio + nitrogeno + (commons + transh)",52.1810745138906,"+",,9.60024352314225,-0.0935013018160299,-13.1969572014404,"+",8.30379351588126,,,10,-208.249403316512,436.498806633025,0.71247435414125,0.0864475933757835
"5","1 + sr.aut + fosforo + potasio + (commons + transh)",123.620730996655,"+",-0.192031111589042,,-0.0993587699446007,-13.1042890377692,"+",,,,9,-209.289883491503,436.579766983005,0.793434704121864,0.0830180619862904
"6","1 + sr.spr + sr.aut + fosforo + potasio + nitrogeno + (commons + ",112.958611325528,"+",-0.227461752644994,16.0363511516277,-0.0765934906033183,-14.5260358318103,"+",,6.42956279851921,,11,-207.369660537955,436.73932107591,0.95298879702699,0.0766524180884276
"7","1 + sr.aut + potasio + nitrogeno + (commons + transh)",110.142179197351,"+",,9.89740892478627,-0.087051347464105,-12.3022701388375,"+",,,,9,-209.387576569726,436.775153139451,0.988820860568069,0.0752913398975755
"8","1 + sr.aut + fosforo + ph + potasio + nitrogeno + (commons + ",82.971987158976,"+",-0.182209056981101,11.8228021574933,-0.094473268407253,-13.4304096072229,"+",4.91113731893976,,,11,-207.571857566474,437.143715132948,1.35738285406501,0.0626199629004705
"9","1 + sr.spr + sr.aut + cic + nitrogeno + (commons + transh)",103.386769453234,"+",,31.9681361723547,,-15.2532407503949,"+",,14.1755006371153,-1.24488998232277,10,-208.658804124051,437.317608248102,1.53127596921843,0.0574053535194849
"10","1 + sr.spr + sr.aut + potasio + nitrogeno + (commons + transh)",103.109068278042,"+",,13.978452167369,-0.0696859181340772,-14.0155025554261,"+",,7.46291154869236,,10,-208.711664754606,437.423329509212,1.63699723032852,0.0544496779799715
"11","1 + sr.aut + fosforo + ph + potasio + (commons + transh)",76.5087749820595,"+",-0.120543680854194,,-0.102081441546022,-13.5306551247653,"+",6.27559238929621,,,10,-208.779638093263,437.559276186526,1.77294390764234,0.0508715382211485
"12","1 + sr.aut + cic + ph + potasio + nitrogeno + (commons + transh)",53.7445442548325,"+",,15.8479990321072,-0.0805193972570152,-13.1829942112519,"+",8.87232895412123,,-0.589780697525432,11,-207.849417243625,437.698834487251,1.91250220836758,0.0474427844113263
"13","1 + sr.aut + cic + fosforo + potasio + nitrogeno + (commons + ",121.015491048274,"+",-0.23134631044497,14.6568885644096,-0.0871518132014139,-13.0376942083887,"+",,,-0.196813628463772,11,-207.850435680825,437.70087136165,1.91453908276634,0.0473944915106572
"14","1 + sr.aut + cic + fosforo + potasio + (commons + transh)",118.771269152546,"+",-0.233661794387705,,-0.107536222896572,-13.2376930626328,"+",,,0.458675340986408,10,-208.887486232964,437.774972465929,1.98864018704518,0.0456706316093301
