"","formula","(Intercept)","cic","commons","nitrogeno","potasio","transh","sr.aut","sr.spr","ph","fosforo","df","logLik","AIC","delta","weight"
"1","1 + cic + potasio + nitrogeno + (commons + transh)",0.717306064276885,-0.0768809575542501,"+",0.88102330844812,0.00341071222752921,"+",,,,,9,-40.8650247178563,99.7300494357126,0,0.125494625814499
"2","1 + (commons + transh)",0.260232930307627,,"+",,,"+",,,,,6,-44.0378895573339,100.075779114668,0.34572967895518,0.105572518505904
"3","1 + sr.aut + cic + potasio + nitrogeno + (commons + transh)",0.932090277943975,-0.0759392866590543,"+",0.87337251837578,0.00333097743664959,"+",-0.0899318001241009,,,,10,-40.3697423545135,100.739484709027,1.00943527331435,0.0757580946542561
"4","1 + cic + (commons + transh)",0.800102089255031,-0.0314212234085447,"+",,,"+",,,,,7,-43.3891479170384,100.778295834077,1.04824639836414,0.0743021387231377
"5","1 + sr.spr + (commons + transh)",0.522400699533572,,"+",,,"+",,-0.284667723403927,,,7,-43.4704673295333,100.940934659067,1.21088522335413,0.0684990806344108
"6","1 + cic + potasio + (commons + transh)",0.547875825441483,-0.0386533839238714,"+",,0.00222218479986591,"+",,,,,8,-42.5067786973231,101.013557394646,1.28350795893361,0.066056402208135
"7","1 + sr.spr + cic + (commons + transh)",1.14549382045123,-0.0343531940033037,"+",,,"+",,-0.320987517508788,,,8,-42.5863502676795,101.172700535359,1.44265109964644,0.0610038749323234
"8","1 + potasio + (commons + transh)",-0.0145213309820733,,"+",,0.00163233552349182,"+",,,,,7,-43.6078700846814,101.215740169363,1.48569073365017,0.0597051074481567
"9","1 + cic + ph + potasio + nitrogeno + (commons + transh)",1.88578944472251,-0.0750681298184212,"+",0.861262931268455,0.00352624382670295,"+",,,-0.164274677558038,,10,-40.639351798964,101.278703597928,1.54865416221534,0.0578547670776123
"10","1 + sr.aut + (commons + transh)",0.52242174655583,,"+",,,"+",-0.10754413195335,,,,7,-43.6498925921497,101.299785184299,1.56973574858679,0.0572481347527912
"11","1 + fosforo + (commons + transh)",0.468965437862823,,"+",,,"+",,,,-0.00646280926235358,7,-43.7040364717894,101.408072943579,1.67802350786614,0.0542309176158965
"12","1 + cic + fosforo + potasio + nitrogeno + (commons + transh)",0.769692392103915,-0.0732087175866529,"+",0.87598988422766,0.00324613711019389,"+",,,,-0.00273482179804391,10,-40.7811133208871,101.562226641774,1.83217720606162,0.0502079977847368
"13","1 + ph + (commons + transh)",1.79217824273913,,"+",,,"+",,,-0.207493189345793,,7,-43.8195882793747,101.639176558749,1.90912712303684,0.0483129371138457
"14","1 + sr.spr + fosforo + (commons + transh)",0.851438578629586,,"+",,,"+",,-0.342668420272607,,-0.00862480592083229,8,-42.8244175060411,101.648835012082,1.91878557636971,0.0480801854472208
"15","1 + sr.spr + cic + potasio + nitrogeno + (commons + transh)",0.78343276869464,-0.0746435247910589,"+",0.831606447821235,0.00322319208270231,"+",,-0.0617981373337843,,,10,-40.8329178955633,101.665835791127,1.93578635541395,0.0476732172870749
